image_id,label
aug_0_1003,nevus
aug_0_101,nevus
aug_0_1026,nevus
aug_0_1050,nevus
aug_0_1067,nevus
aug_0_1142,nevus
aug_0_1175,nevus
aug_0_1176,nevus
aug_0_1181,nevus
aug_0_1205,nevus
aug_0_1211,nevus
aug_0_1236,nevus
aug_0_1249,nevus
aug_0_1282,nevus
aug_0_1294,nevus
aug_0_1300,nevus
aug_0_1302,nevus
aug_0_1329,nevus
aug_0_1364,nevus
aug_0_138,nevus
aug_0_1417,nevus
aug_0_1473,nevus
aug_0_1495,nevus
aug_0_1506,nevus
aug_0_1507,nevus
aug_0_1512,nevus
aug_0_1513,nevus
aug_0_1517,nevus
aug_0_1541,nevus
aug_0_1542,nevus
aug_0_1568,nevus
aug_0_1574,nevus
aug_0_1576,nevus
aug_0_1583,nevus
aug_0_1597,nevus
aug_0_1621,nevus
aug_0_163,nevus
aug_0_164,nevus
aug_0_1642,nevus
aug_0_1645,nevus
aug_0_1655,nevus
aug_0_1703,nevus
aug_0_1720,nevus
aug_0_1722,nevus
aug_0_1735,nevus
aug_0_1753,nevus
aug_0_1756,nevus
aug_0_1763,nevus
aug_0_1779,nevus
aug_0_1801,nevus
aug_0_182,nevus
aug_0_1842,nevus
aug_0_1879,nevus
aug_0_1881,nevus
aug_0_1887,nevus
aug_0_1894,nevus
aug_0_192,nevus
aug_0_1928,nevus
aug_0_1947,nevus
aug_0_1952,nevus
aug_0_1958,nevus
aug_0_1963,nevus
aug_0_2004,nevus
aug_0_2045,nevus
aug_0_2056,nevus
aug_0_2077,nevus
aug_0_2157,nevus
aug_0_2179,nevus
aug_0_2248,nevus
aug_0_2250,nevus
aug_0_2268,nevus
aug_0_227,nevus
aug_0_2280,nevus
aug_0_2290,nevus
aug_0_2300,nevus
aug_0_2312,nevus
aug_0_2325,nevus
aug_0_2362,nevus
aug_0_2382,nevus
aug_0_2427,nevus
aug_0_2448,nevus
aug_0_2481,nevus
aug_0_2545,nevus
aug_0_2580,nevus
aug_0_2599,nevus
aug_0_2601,nevus
aug_0_2624,nevus
aug_0_2650,nevus
aug_0_2655,nevus
aug_0_2665,nevus
aug_0_2679,nevus
aug_0_2699,nevus
aug_0_2722,nevus
aug_0_2739,nevus
